Comment,Designator,Footprint,LCSC Part #
0.1uF,C1 C2 C3 C4 C6,CAPC1608X85,C14663
330,R1 R2 R3 R4,RESC1608X60,C23138
LED,LED1 LED2 LED3 LED4,CHIPLED_0805,C19171391
MAX3232ESE,U1,SOIC127P600X175-16N,C15846
