Designator,Mid X,Mid Y,Layer,Rotation
C1,13.84,19.05,Top,180.0
C2,10.79,19.05,Top,180.0
C3,13.84,20.96,Top,0.0
C4,10.79,20.96,Top,0.0
C6,13.84, 9.40,Top,180.0
LED1, 1.27, 4.45,Top,90.0
LED2, 3.81, 4.45,Top,90.0
LED3, 6.35, 4.45,Top,90.0
LED4, 8.89, 4.45,Top,90.0
R1, 1.27, 8.26,Top,90.0
R2, 3.81, 8.26,Top,90.0
R3, 6.35, 8.26,Top,90.0
R4, 8.89, 8.26,Top,90.0
U1,10.16,13.97,Top,180.0
